¿En qué rango de edad te encuentras?,Ciudad de residencia,¿Cuál es tu motivación y/ó expectativa para postular al programa Track de mujeres?,Grado máximo de estudios alcanzados,¿Con qué definición te identificas actualmente? ,"Actualmente, ¿Cuáles son las 3 habilidades,  fortalezas o conocimientos que destacarías de ti?",¿Qué habilidades o conocimientos podrías o te gustaría adquirir o mejorar a través del programa?,"Actualmente, ¿Cuál es su fuente de ingresos?",¿Tienes acceso a una computadora e internet?,¿Tienes disponibilidad de asistir presencialmente 2 días seguidos a un taller (entre junio/julio y agosto)?,¿Qué días tienes mayor disponibilidad de tiempo para capacitarte o asistencia a eventos?,¿Cuál seria el horario de preferencia? ,¿Hace cuánto tiempo iniciaste en el mundo del emprendimiento?,Nombre del emprendimiento,Breve descripción en un párrafo del emprendimiento.,Rubro del emprendimiento,Antigüedad de tu emprendimiento en el que trabajas actualmente,¿Cuántas personas conforman tu emprendimiento actualmente? ,¿Cómo te enteraste del programa Track Mujeres,¿Dónde sueles buscar y compartir información? ¿Tienes alguna red social o plataforma favorita para mantenerte al día?,Categorizacion_Motivacion_Expectativa_Postulacion,Categorizacion_Habilidad_Adquisicion,Categoria_Habilidades_Destacadas
31 a 35 años,El Alto,Mi motivación es estar con mujeres líderes en el ámbito empresarial y fina cic ,Técnico medio o superior,Soy emprendedora,Soy una persona emprendedora y muy apasionada con los trabajos que realiza y muy motivadora y mejorar en todos los ámbitos cada día más ,Liderazgo para poder mejorar mi emprendimiento y resilencia para poder acomodar mi emprendimiento a las distintas situaciones económicas que enfrenta el país así para mejorar mi emprendimiento pero también las distintas habilidades para mejorar,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace menos de 1 año,Manqarapiña,Servicios de banqueteria y restaurant comida nacional,Gastronomía y/ó alimentos,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Tik tok,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Emprendimiento e Innovación
41 a 45 años,Cochabamba,Ser parte de una red de mujeres emprendedoras donde crecen todas al mismo tiempo y que mejor con el apoyo de un banco ,Técnico medio o superior,Soy emprendedora,"Ser perseverante, ser una mujer líder, y tener ganas de aprender más ","Fortalecer más mis conocimientos 
 crecer en diferentes aspecto, ser parte de una red empresarial ",Ambos,Si,Si,Indiferente,Noche,Hace más de 5 años,"Hilos, lanas y punto ","Es un emprendimiento que valoriza el tejido a mano, que combina técnicas antiguas con lo moderno en cuando a color texturas y materiales utilizados en  accesorios, ropa y muñecos personalisados ","Textil, moda, diseño y/ó venta de ropa",6 a 10 años,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Liderazgo y Empoderamiento
36 a 40 años,La Paz,Aprender más y mejores técnicas para mejorar mi emprendimiento ,Maestria,Soy emprendedora,"Perseverancia, motivación y compromiso ",Finanzas ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Noche,Hace más de un año,"""La Estación""",Comida rápida ,Gastronomía y/ó alimentos,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Linkedin,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Resiliencia y Determinación
26 a 30 años,Santa Cruz,Aprender más técnicas de ventas ,Licenciatura,Trabajo como profesional independiente,"Liderazgo, compromiso,  ","Hábitos, resiliencia ",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Noche,Hace menos de 1 año,Violetta,Venta de ropa para mujeres ,"Textil, moda, diseño y/ó venta de ropa",Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Linkedin,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Desarrollo personal y habilidades blandas,Liderazgo y Empoderamiento
36 a 40 años,Santa Cruz,Aprender más para emprender mejor ,Diplomado,Soy emprendedora,"Trabajo bajo presión, agilidad, fácil aprendizaje","Poder de decision, seguridad",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace más de un año,Dulce Adicción tortas,Realizo tortas personalizadas para distintos acontecimientos ,Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Linkedin,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Desarrollo personal y habilidades blandas,Trabajo en Equipo y Colaboración
31 a 35 años,Cochabamba,Aprender nuevas herramientas para negocio independiente,Licenciatura,Trabajo y emprendo como actividad paralela,"Perseverancia, empatia y investigar",Nuevas herramientas que ayuden a aumentar ventas ,Ambos,Si,Si,Indiferente,Mañana,Hace más de un año,Natura,Venta de productos de belleza,"Belleza, cuidado personal",De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,WhatsApp,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Resiliencia y Determinación
31 a 35 años,El Alto,Aprender a emprender y saber manejar nuevas maneras de ventas ,Técnico medio o superior,En búsqueda de empleo,"Manejar redes sociales básico
","Conocer nuevas oportunidades de generar
Aprender como vender
Aprender como manejar un negocio ",Trabajo asalariado o eventual,,,,,,,,,,,,,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
46 a 50 años,Santa Cruz,Seguir capacitandome para poder avanzar,Licenciatura,Soy emprendedora,1. Aprendo rápido.  2. Responsabilidad y 3. Empatia ,"Me encantaría seguir aprendiendo sobre marketing digital, ventas.",Aún no percibo ingresos,,,,,,,,,,,,,Otro,Marketing digital,Desarrollo Personal y Profesional
31 a 35 años,La Paz,Fortalecer los conocimientos para emprender,Técnico medio o superior,Trabajo y emprendo como actividad paralela,Ventas ,Poder de convicción y marketing de ventas ,Ambos,No,Si,Fines de semana,Noche,Hace más de un año,Food Máster ,Venta de comida rapida,Gastronomía y/ó alimentos,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Otras
18 a 25 años,El Alto,Me gustaria mejorar mis habilidades para mi emprendimiento quisiera aprender como mejorar.,Licenciatura,Soy emprendedora,"Responsabilidad, creatividad, calidad.","Liderazgo, marketing, empatia.",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,Eco Ñusta,"Eco Ñusts es un emprendimiento que fabrica accesorios, ropa, joyeria con insumos organicos, reciclables, tambien cosmeticos con insumos naturales utilizando el minimo impacto ambiental con empaques retornables.","Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Creatividad y Solución de Problemas
